flight_date,flight_status,departure_iata,departure_scheduled,departure_terminal,departure_gate,departure_delay,arrival_iata,arrival_scheduled,arrival_terminal,arrival_gate,arrival_delay,airline_name,flight_number
2025-09-09,scheduled,JFK,2025-09-09 07:50:00+00:00,8,,16.0,LHR,2025-09-09 19:45:00+00:00,5,,0.0,British Airways,178
2025-09-09,scheduled,JFK,2025-09-09 08:10:00+00:00,4,A6,0.0,LHR,2025-09-09 20:00:00+00:00,3,,0.0,Virgin Atlantic,26
2025-09-09,scheduled,JFK,2025-09-09 08:45:00+00:00,5,524,0.0,LHR,2025-09-09 20:45:00+00:00,2,,0.0,JetBlue Airways,1107
2025-09-09,scheduled,JFK,2025-09-09 09:50:00+00:00,8,12,0.0,LHR,2025-09-09 21:40:00+00:00,3,35,0.0,American Airlines,142
2025-09-08,landed,JFK,2025-09-08 07:50:00+00:00,8,,19.0,LHR,2025-09-08 19:45:00+00:00,5,,0.0,Aer Lingus,8878
2025-09-08,landed,JFK,2025-09-08 07:50:00+00:00,8,,19.0,LHR,2025-09-08 19:45:00+00:00,5,,0.0,Finnair,5478
2025-09-08,landed,JFK,2025-09-08 07:50:00+00:00,8,,19.0,LHR,2025-09-08 19:45:00+00:00,5,,0.0,Iberia,3564
2025-09-08,landed,JFK,2025-09-08 07:50:00+00:00,8,,19.0,LHR,2025-09-08 19:45:00+00:00,5,,0.0,American Airlines,6939
2025-09-08,landed,JFK,2025-09-08 07:50:00+00:00,8,,19.0,LHR,2025-09-08 19:45:00+00:00,5,,0.0,AlphaSky,5262
2025-09-08,landed,JFK,2025-09-08 07:50:00+00:00,8,,19.0,LHR,2025-09-08 19:45:00+00:00,5,,0.0,British Airways,178
2025-09-08,landed,JFK,2025-09-08 08:10:00+00:00,4,A7,30.0,LHR,2025-09-08 20:00:00+00:00,3,,0.0,Air France,9656
2025-09-08,landed,JFK,2025-09-08 08:10:00+00:00,4,A7,30.0,LHR,2025-09-08 20:00:00+00:00,3,,0.0,Delta Air Lines,5996
2025-09-08,landed,JFK,2025-09-08 08:10:00+00:00,4,A7,30.0,LHR,2025-09-08 20:00:00+00:00,3,,0.0,KLM,2505
2025-09-08,landed,JFK,2025-09-08 08:10:00+00:00,4,A7,30.0,LHR,2025-09-08 20:00:00+00:00,3,,0.0,Virgin Atlantic,26
2025-09-08,landed,JFK,2025-09-08 08:45:00+00:00,5,524,13.0,LHR,2025-09-08 20:45:00+00:00,2,,0.0,JetBlue Airways,1107
2025-09-08,landed,JFK,2025-09-08 21:55:00+00:00,4,B30,20.0,LHR,2025-09-09 10:15:00+00:00,3,42,0.0,Virgin Atlantic,4030
2025-09-08,landed,JFK,2025-09-08 21:55:00+00:00,4,B30,20.0,LHR,2025-09-09 10:15:00+00:00,3,42,0.0,Air France,3662
2025-09-08,landed,JFK,2025-09-08 21:55:00+00:00,4,B30,20.0,LHR,2025-09-09 10:15:00+00:00,3,42,0.0,KLM,6103
2025-09-08,landed,JFK,2025-09-08 21:55:00+00:00,4,B30,20.0,LHR,2025-09-09 10:15:00+00:00,3,42,0.0,SAS,3973
2025-09-08,landed,JFK,2025-09-08 22:55:00+00:00,8,16,41.0,LHR,2025-09-09 11:05:00+00:00,3,5,0.0,AlphaSky,6906
2025-09-08,landed,JFK,2025-09-08 22:55:00+00:00,8,16,41.0,LHR,2025-09-09 11:05:00+00:00,3,5,0.0,Finnair,4016
2025-09-08,landed,JFK,2025-09-08 22:55:00+00:00,8,16,41.0,LHR,2025-09-09 11:05:00+00:00,3,5,0.0,British Airways,1515
2025-09-08,landed,JFK,2025-09-08 22:55:00+00:00,8,16,41.0,LHR,2025-09-09 11:05:00+00:00,3,5,0.0,Gulf Air,6604
2025-09-08,landed,JFK,2025-09-08 22:55:00+00:00,8,16,41.0,LHR,2025-09-09 11:05:00+00:00,3,5,0.0,Iberia,4220
2025-09-08,landed,JFK,2025-09-08 22:55:00+00:00,8,16,41.0,LHR,2025-09-09 11:05:00+00:00,3,5,0.0,Royal Jordanian,7082
2025-09-08,landed,JFK,2025-09-08 22:55:00+00:00,8,16,41.0,LHR,2025-09-09 11:05:00+00:00,3,5,0.0,SriLankan Airlines,2040
2025-09-08,landed,JFK,2025-09-08 19:00:00+00:00,4,A2,45.0,LHR,2025-09-09 07:15:00+00:00,3,,0.0,Air France,6759
2025-09-08,landed,JFK,2025-09-08 19:00:00+00:00,4,A2,45.0,LHR,2025-09-09 07:15:00+00:00,3,,0.0,Delta Air Lines,5990
2025-09-08,landed,JFK,2025-09-08 19:00:00+00:00,4,A2,45.0,LHR,2025-09-09 07:15:00+00:00,3,,0.0,KLM,2503
